Years,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
        Men (People),41725000,40925000,41578000,41780000,41682000,42430000,41619000,42621000,43379000,43357000,42423000,43466000,43904000,43656000,44177000,44657000,45474000,46340000,46919000,47479000,48114000,48818000,48990000,49390000,50896000,52349000,53024000,51857000,53138000,54728000,56479000,57607000,57186000,57397000,56271000,56787000,59091000,59891000,60892000,62107000,63273000,64315000,65104000,64223000,64440000,65349000,66450000,67377000,68207000,69685000,70693000,71446000,73305000,73196000,72903000,73332000,74524000,75973000,77502000,78254000,77486000,73670000,73359000,74290000,75555000,76353000,77692000,79131000,80568000,81402000,82698000
        Women (People),16617000,16723000,17340000,18181000,18568000,18749000,18490000,19551000,20419000,20714000,20613000,21164000,21874000,22090000,22525000,23105000,23831000,24748000,25976000,26893000,27807000,29084000,29688000,29976000,31257000,32715000,33769000,33989000,35615000,37289000,39569000,41217000,42117000,43000000,43256000,44047000,45915000,47259000,48706000,50334000,51696000,53027000,53689000,53496000,54052000,54910000,56610000,57523000,58501000,59873000,60771000,62042000,63586000,63737000,63582000,64404000,64728000,65757000,66925000,67792000,67876000,66208000,65705000,65579000,66914000,67577000,68613000,69703000,70868000,71936000,73063000
    By race / ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        White (People),,,,,,,53957000,55833000,57269000,57465000,56613000,58006000,58850000,58913000,59698000,60622000,61922000,63446000,65021000,66361000,67750000,69518000,70217000,70878000,73370000,75708000,77184000,76411000,78853000,81700000,84936000,87259000,87715000,88709000,87903000,88893000,92120000,93736000,95660000,97789000,99812000,101584000,102261000,101182000,101669000,103045000,105190000,106490000,107808000,109856000,110931000,112235000,114424000,114430000,114013000,114235000,115239000,116949000,118833000,119792000,119126000,114996000,114168000,114690000,114769000,115379000,116788000,117944000,119313000,120176000,121461000
        Black (People),,,,,,,,,,,,,,,,,,,,,,,,,7802000,8128000,8203000,7894000,8227000,8540000,9102000,9359000,9313000,9355000,9189000,9375000,10119000,10501000,10814000,11309000,11658000,11953000,12175000,12074000,12151000,12382000,12835000,13279000,13542000,13969000,14556000,15056000,15156000,15006000,14872000,14739000,14909000,15313000,15765000,16051000,15953000,15025000,15010000,15051000,15856000,16151000,16732000,17472000,17982000,18587000,19091000
        Asian (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6043000,6180000,6215000,5756000,5994000,6244000,6522000,6839000,6917000,6635000,6705000,6867000,7705000,8136000,8325000,8706000,9213000,9448000,9832000
        Hispanic (People),,,,,,,,,,,,,,,,,,,,,,,,,,3396000,3687000,3663000,3720000,4079000,4527000,4785000,5527000,5813000,5805000,6072000,6651000,6888000,7219000,7790000,8250000,8573000,9845000,9828000,10027000,10361000,10788000,11127000,11642000,12726000,13291000,13720000,15735000,16190000,16590000,17372000,17930000,18632000,19613000,20382000,20346000,19647000,19906000,20269000,21878000,22514000,23492000,24400000,25249000,25938000,27012000
    By age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        16-64 (People),55554000,54878500,56087583.33,57162666.67,57468333.33,58402166.67,57302500,59326416.67,60988333.33,61260750,60238916.67,61824416.67,62980416.67,62940166.67,63897583.33,64955416.67,66497333.33,68266250,70073916.67,71571750,73108916.67,75070833.33,75864666.67,76550416.67,79331083.33,82247250,83998500,83026166.67,85948416.67,89213166.67,93242083.33,96021166.67,96499250,97595500,96725083.33,98017583.33,102198666.7,104349916.7,106796500,109635250,112170000,114522916.7,115991583.3,114908500,115683833.3,117454583.3,120267083.3,122104166.7,123916083.3,126768250,128671833.3,130696833.3,134096583.3,134135250,133676833.3,134925166.7,136435666.7,138906000,141613500,143246083.3,142569166.7,137089833.3,136273083.3,137081083.3,139670500,141136583.3,143514583.3,146043083.3,148638500,150533583.3,152960000
        65+ (People),2804083.333,2864250,2899833.333,2917083.333,2919333.333,3166416.667,3059500,3184750,3314250,3178083.333,3045166.667,3023166.667,3072750,2987083.333,3013083.333,2915083.333,2972916.667,3004833.333,2961083.333,3010083.333,3065416.667,3154583.333,3117083.333,3040583.333,3003166.667,2885166.667,2835166.667,2801000,2747916.667,2787083.333,2946583.333,2999583.333,2960333.333,2944666.667,2922500,2926750,2835250,2813166.667,2918916.667,3040750,3196833.333,3346166.667,3346083.333,3300166.667,3341083.333,3330500,3681583.333,3666166.667,3689666.667,3760583.333,3725000,3881666.667,4179083.333,4252583.333,4305666.667,4608083.333,4818750,5094166.667,5324750,5613833.333,5979333.333,6113666.667,6268333.333,6647083.333,7245083.333,7681333.333,7970916.667,8464583.333,8916166.667,9234166.667,9705500
