year,period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,states,st
1983.0,Sep,62.6,55.8,2199154.0,1958634.0,240520.0,10.9,Tennessee,tn
1984.0,Sep,62.9,57.7,2234248.0,2048828.0,185420.0,8.3,Tennessee,tn
1985.0,Sep,62.6,57.7,2256730.0,2079978.0,176752.0,7.8,Tennessee,tn
1986.0,Sep,63.6,58.6,2311871.0,2131669.0,180202.0,7.8,Tennessee,tn
1987.0,Sep,63.4,59.5,2339279.0,2195664.0,143615.0,6.1,Tennessee,tn
1988.0,Sep,63.1,59.3,2351906.0,2212118.0,139788.0,5.9,Tennessee,tn
1989.0,Sep,63.1,59.9,2373669.0,2250744.0,122925.0,5.2,Tennessee,tn
1990.0,Sep,63.4,59.9,2395276.0,2263423.0,131853.0,5.5,Tennessee,tn
1991.0,Sep,63.1,58.8,2418786.0,2255345.0,163441.0,6.8,Tennessee,tn
1992.0,Sep,63.6,59.5,2471224.0,2313399.0,157825.0,6.4,Tennessee,tn
1993.0,Sep,64.5,61.0,2548260.0,2410046.0,138214.0,5.4,Tennessee,tn
1994.0,Sep,66.8,63.7,2685014.0,2558079.0,126935.0,4.7,Tennessee,tn
1995.0,Sep,67.0,63.4,2739091.0,2592010.0,147081.0,5.4,Tennessee,tn
1996.0,Sep,66.7,63.3,2779841.0,2637006.0,142835.0,5.1,Tennessee,tn
1997.0,Sep,65.9,62.5,2790881.0,2646758.0,144123.0,5.2,Tennessee,tn
1998.0,Sep,66.1,63.2,2830179.0,2708100.0,122079.0,4.3,Tennessee,tn
1999.0,Sep,65.9,63.3,2851374.0,2739950.0,111424.0,3.9,Tennessee,tn
2000.0,Sep,64.9,62.3,2834362.0,2722661.0,111701.0,3.9,Tennessee,tn
2001.0,Sep,64.9,61.7,2864052.0,2722726.0,141326.0,4.9,Tennessee,tn
2002.0,Sep,65.4,62.3,2912809.0,2773569.0,139240.0,4.8,Tennessee,tn
2003.0,Sep,64.5,60.7,2904169.0,2734995.0,169174.0,5.8,Tennessee,tn
2004.0,Sep,63.2,59.7,2877165.0,2718846.0,158319.0,5.5,Tennessee,tn
2005.0,Sep,63.1,59.8,2920522.0,2765803.0,154719.0,5.3,Tennessee,tn
2006.0,Sep,65.2,61.8,3069891.0,2911006.0,158885.0,5.2,Tennessee,tn
2007.0,Sep,64.1,61.0,3062410.0,2910741.0,151669.0,5.0,Tennessee,tn
2008.0,Sep,63.3,58.7,3058919.0,2839856.0,219063.0,7.2,Tennessee,tn
2009.0,Sep,62.3,55.7,3039497.0,2714731.0,324766.0,10.7,Tennessee,tn
2010.0,Sep,62.8,57.0,3101550.0,2813356.0,288194.0,9.3,Tennessee,tn
2011.0,Sep,62.8,57.3,3128516.0,2853571.0,274945.0,8.8,Tennessee,tn
2012.0,Sep,61.8,57.0,3106102.0,2865405.0,240697.0,7.7,Tennessee,tn
2013.0,Sep,60.1,55.6,3050317.0,2817923.0,232394.0,7.6,Tennessee,tn
2014.0,Sep,59.1,55.3,3026100.0,2827381.0,198719.0,6.6,Tennessee,tn
2015.0,Sep,59.1,56.0,3054163.0,2891506.0,162657.0,5.3,Tennessee,tn
2016.0,Sep,60.2,57.3,3145290.0,2994393.0,150897.0,4.8,Tennessee,tn
2017.0,Sep,60.7,58.6,3202968.0,3092243.0,110725.0,3.5,Tennessee,tn
2018.0,Sep,61.2,59.1,3267423.0,3154263.0,113160.0,3.5,Tennessee,tn
2019.0,Sep,62.3,60.3,3361680.0,3249964.0,111716.0,3.3,Tennessee,tn
2020.0,Sep,61.0,57.1,3322510.0,3111552.0,210958.0,6.3,Tennessee,tn
1976.0,Sep,64.0,60.3,5770305.0,5443387.0,326918.0,5.7,Texas,tx
1977.0,Sep,64.5,61.1,5997396.0,5683524.0,313872.0,5.2,Texas,tx
1978.0,Sep,65.3,62.2,6268160.0,5971075.0,297085.0,4.7,Texas,tx
1979.0,Sep,65.7,62.8,6530768.0,6248171.0,282597.0,4.3,Texas,tx
1980.0,Sep,66.0,62.5,6794147.0,6434553.0,359594.0,5.3,Texas,tx
1981.0,Sep,66.9,63.4,7113539.0,6735583.0,377956.0,5.3,Texas,tx
1982.0,Sep,67.6,62.5,7460493.0,6903169.0,557324.0,7.5,Texas,tx
1983.0,Sep,67.8,62.6,7694426.0,7106089.0,588337.0,7.6,Texas,tx
1984.0,Sep,68.4,64.4,7917375.0,7449495.0,467880.0,5.9,Texas,tx
1985.0,Sep,68.1,63.1,8035444.0,7449910.0,585534.0,7.3,Texas,tx
1986.0,Sep,68.8,62.5,8232427.0,7478872.0,753555.0,9.2,Texas,tx
1987.0,Sep,68.9,63.3,8292290.0,7611143.0,681147.0,8.2,Texas,tx
1988.0,Sep,69.1,64.2,8357125.0,7759256.0,597869.0,7.2,Texas,tx
1989.0,Sep,69.1,64.5,8459907.0,7900223.0,559684.0,6.6,Texas,tx
1990.0,Sep,68.5,64.2,8651162.0,8100599.0,550563.0,6.4,Texas,tx
1991.0,Sep,68.5,63.7,8803796.0,8189899.0,613897.0,7.0,Texas,tx
1992.0,Sep,69.2,63.9,9050234.0,8360011.0,690223.0,7.6,Texas,tx
1993.0,Sep,69.2,64.3,9238054.0,8587507.0,650547.0,7.0,Texas,tx
1994.0,Sep,69.3,65.0,9439746.0,8849295.0,590451.0,6.3,Texas,tx
1995.0,Sep,69.3,65.1,9618449.0,9022864.0,595585.0,6.2,Texas,tx
1996.0,Sep,69.1,65.3,9759857.0,9227004.0,532853.0,5.5,Texas,tx
1997.0,Sep,69.1,65.6,9961428.0,9452472.0,508956.0,5.1,Texas,tx
1998.0,Sep,69.1,65.6,10151338.0,9649373.0,501965.0,4.9,Texas,tx
1999.0,Sep,68.6,65.4,10276684.0,9794376.0,482308.0,4.7,Texas,tx
2000.0,Sep,68.0,65.2,10371939.0,9943956.0,427983.0,4.1,Texas,tx
2001.0,Sep,67.9,64.2,10559372.0,9989990.0,569382.0,5.4,Texas,tx
2002.0,Sep,68.2,63.8,10805966.0,10113207.0,692759.0,6.4,Texas,tx
2003.0,Sep,67.8,63.3,10927537.0,10197642.0,729895.0,6.7,Texas,tx
2004.0,Sep,67.2,63.3,11007490.0,10370374.0,637116.0,5.8,Texas,tx
2005.0,Sep,66.8,63.2,11177729.0,10586350.0,591379.0,5.3,Texas,tx
2006.0,Sep,66.4,63.3,11367062.0,10827205.0,539857.0,4.7,Texas,tx
2007.0,Sep,65.6,62.8,11456726.0,10965668.0,491058.0,4.3,Texas,tx
2008.0,Sep,65.9,62.5,11735105.0,11135112.0,599993.0,5.1,Texas,tx
2009.0,Sep,66.0,60.5,11992696.0,10996372.0,996324.0,8.3,Texas,tx
2010.0,Sep,65.8,60.5,12297212.0,11306452.0,990760.0,8.1,Texas,tx
2011.0,Sep,66.0,60.9,12562867.0,11592874.0,969993.0,7.7,Texas,tx
2012.0,Sep,65.5,61.3,12715945.0,11888879.0,827066.0,6.5,Texas,tx
2013.0,Sep,65.2,61.3,12892798.0,12106935.0,785863.0,6.1,Texas,tx
2014.0,Sep,64.8,61.6,13079290.0,12438299.0,640991.0,4.9,Texas,tx
2015.0,Sep,63.6,60.8,13101981.0,12519355.0,582626.0,4.4,Texas,tx
2016.0,Sep,63.8,60.8,13399340.0,12759137.0,640203.0,4.8,Texas,tx
2017.0,Sep,63.8,61.2,13621164.0,13063996.0,557168.0,4.1,Texas,tx
2018.0,Sep,63.9,61.6,13850222.0,13334935.0,515287.0,3.7,Texas,tx
2019.0,Sep,64.2,62.0,14133202.0,13637428.0,495774.0,3.5,Texas,tx
2020.0,Sep,63.6,58.3,14214922.0,13029836.0,1185086.0,8.3,Texas,tx
1976.0,Sep,63.3,59.9,533344.0,504388.0,28956.0,5.4,Utah,ut
1977.0,Sep,62.8,59.7,547901.0,520646.0,27255.0,5.0,Utah,ut
1978.0,Sep,63.6,61.3,573904.0,553635.0,20269.0,3.5,Utah,ut
1979.0,Sep,65.4,62.4,612357.0,584495.0,27862.0,4.5,Utah,ut
1980.0,Sep,65.3,60.9,632024.0,589327.0,42697.0,6.8,Utah,ut
1981.0,Sep,65.5,61.2,652219.0,609203.0,43016.0,6.6,Utah,ut
1982.0,Sep,66.3,60.5,678173.0,618774.0,59399.0,8.8,Utah,ut
1983.0,Sep,65.7,60.4,690966.0,634859.0,56107.0,8.1,Utah,ut
1984.0,Sep,67.6,63.3,709953.0,665304.0,44649.0,6.3,Utah,ut
1985.0,Sep,69.0,65.0,735929.0,692908.0,43021.0,5.8,Utah,ut
1986.0,Sep,69.8,65.4,754158.0,706173.0,47985.0,6.4,Utah,ut
1987.0,Sep,69.2,65.1,753436.0,708860.0,44576.0,5.9,Utah,ut
1988.0,Sep,69.6,66.3,765216.0,728600.0,36616.0,4.8,Utah,ut
1989.0,Sep,71.5,68.3,795941.0,759721.0,36220.0,4.6,Utah,ut
1990.0,Sep,70.9,67.9,828932.0,793215.0,35717.0,4.3,Utah,ut
1991.0,Sep,70.9,67.5,859093.0,817891.0,41202.0,4.8,Utah,ut
1992.0,Sep,71.1,67.7,895927.0,853082.0,42845.0,4.8,Utah,ut
1993.0,Sep,72.5,69.7,953711.0,917054.0,36657.0,3.8,Utah,ut
1994.0,Sep,73.0,70.2,998790.0,960221.0,38569.0,3.9,Utah,ut
1995.0,Sep,71.8,69.4,1017351.0,982839.0,34512.0,3.4,Utah,ut
1996.0,Sep,71.5,69.1,1045763.0,1010840.0,34923.0,3.3,Utah,ut
1997.0,Sep,71.8,69.5,1076377.0,1042111.0,34266.0,3.2,Utah,ut
1998.0,Sep,72.4,69.7,1108001.0,1066856.0,41145.0,3.7,Utah,ut
1999.0,Sep,72.0,69.5,1124028.0,1084773.0,39255.0,3.5,Utah,ut
